pubid,featured,fullref,firstauthor,year,title,shortref,type,url,openaccess,categories,code_url,abstract
Kurkela2022,TRUE,"Kurkela, K.A., Cooper, R.A., Ryu, E., & Ritchey, M. (2022). Integrating region- and network-level contributions to episodic recollection using multilevel structural equation modeling. <i>Journal of Cognitive Neuroscience</i>, 34 (12), 2341-2359.",Kurkela,2022,Integrating region- and network-level contributions to episodic recollection using multilevel structural equation modeling.,"Kurkela, K.A., Cooper, R.A., Ryu, E., & Ritchey, M. (2022). <i>Journal of Cognitive Neuroscience</i>.",empirical,https://doi.org/10.1162/jocn_a_01904,https://www.biorxiv.org/content/10.1101/2022.02.08.478511v1,"basic memory, memory systems, fMRI",https://www.thememolab.org/paper-integrating-region-network/,"The brain is composed of networks of interacting brain regions that support higher-order cognition. Among these, a core network of regions has been associated with recollection and other forms of episodic construction. Past research has focused largely on the roles of individual brain regions in recollection or on their mutual engagement as part of an integrated network. However, the relationship between these region- and network-level contributions remains poorly understood. Here, we applied multilevel structural equation modeling to examine the functional organization of the posterior medial (PM) network and its relationship to episodic memory outcomes. We evaluated two aspects of functional heterogeneity in the PM network: first, the organization of individual regions into subnetworks, and second, the presence of regionally specific contributions while accounting for network-level effects. Our results suggest that the PM network is composed of ventral and dorsal subnetworks, with the ventral subnetwork making a unique contribution to recollection, especially to recollection of spatial information, and that memory-related activity in individual regions is well accounted for by these network-level effects. These findings highlight the importance of considering the functions of individual brain regions within the context of their affiliated networks."
Leavitt2022,FALSE,"Leavitt, V., Dworkin, J., Buyukturkoglu, K., Riley, C. & Ritchey, M. (2022). Summary metrics of memory subnetwork functional connectivity alterations in multiple sclerosis. <i>Multiple Sclerosis Journal</i>, 28 (12), 1963-1972.",Leavitt,2022,Summary metrics of memory subnetwork functional connectivity alterations in multiple sclerosis.,"Leavitt, V., Dworkin, J., Buyukturkoglu, K., Riley, C. & Ritchey, M. (2022). <i>Multiple Sclerosis Journal</i>.",empirical,https://doi.org/10.1177/13524585221099169,,"memory systems, functional connectivity, fMRI, collaborations",,
Cooper2022,TRUE,"Cooper, R.A., & Ritchey, M. (2022). Patterns of episodic content and specificity predicting subjective memory vividness. <i>Memory & Cognition</i>, 50 (8), 1629-1643.",Cooper,2022,Patterns of episodic content and specificity predicting subjective memory vividness.,"Cooper, R.A., & Ritchey, M. (2022). <i>Memory & Cognition</i>.",empirical,https://doi.org/10.3758/s13421-022-01291-5,https://psyarxiv.com/gux43/,"basic memory, behavioral, individual differences",http://www.thememolab.org/paper-vividness-features/,"The ability to remember and internally represent events is often accompanied by a subjective sense of ""vividness"". Vividness measures are frequently used to evaluate the experience of remembering and imagining events, yet little research has considered the objective attributes of event memories that underlie this subjective judgment, and individual differences in this mapping. Here, we tested how the content and specificity of event memories support subjectively vivid recollection. Over three experiments, participants encoded events containing a theme word and three distinct elements - a person, a place, and an object. In a memory test, memory for event elements was assessed at two levels of specificity - semantic gist (names) and perceptual details (lure discrimination). We found a strong correspondence between memory vividness and memory for gist information that did not vary by which elements were contained in memory. There was a smaller, additive benefit of remembering specific perceptual details on vividness, which, in one study, was driven by memory for place details. Moreover, we found individual differences in the relationship between memory vividness and objective memory attributes primarily along the specificity dimension, such that one cluster of participants used perceptual detail to inform memory vividness whereas another cluster was more driven by gist information. Therefore, while gist memory appears to drive vividness on average, there were idiosyncrasies in this pattern across participants. When assessing subjective ratings of memory and imagination, research should consider how these ratings map onto objective memory attributes in the context of their study design and population."
Riegel2022,FALSE,"Riegel, M., Wierzba, M., Wypych, M., Ritchey, M., Jednorog, K., Grabowska, A., Vuilleumier, P., & Marchewka, A. (2022). Distinct medial-temporal lobe mechanisms of encoding and amygdala-mediated memory reinstatement for disgust and fear. <i>NeuroImage</i>, 251, 118889.",Riegel,2022,Distinct medial-temporal lobe mechanisms of encoding and amygdala-mediated memory reinstatement for disgust and fear.,"Riegel, M., Wierzba, M., Wypych, M., Ritchey, M., Jednorog, K., Grabowska, A., Vuilleumier, P., & Marchewka, A. (2022). <i>NeuroImage</i>.",empirical,https://doi.org/10.1016/j.neuroimage.2022.118889,https://www.biorxiv.org/content/10.1101/825844v2,"emotional memory, fMRI, emotion, collaborations",,
Radvansky2022,FALSE,"Radvansky, G.A., Doolen, A.C., Pettijohn, K.A., & Ritchey, M. (2022). A new look at memory retention and forgetting. <i>Journal of Experimental Psychology: Learning, Memory, and Cognition</i>, 48 (11), 1698-1723.",Radvansky,2022,A new look at memory retention and forgetting.,"Radvansky, G.A., Doolen, A.C., Pettijohn, K.A., & Ritchey, M. (2022). <i>Journal of Experimental Psychology: Learning, Memory, and Cognition</i>.",review,https://doi.org/10.1037/xlm0001110,,"basic memory, consolidation, behavioral, collaborations",,
Simons2022,FALSE,"Simons, J.S., Ritchey, M., & Fernyhough, C. (2022). Brain mechanisms underlying the subjective experience of remembering. <i>Annual Review of Psychology</i>, 73, 159-186.",Simons,2022,Brain mechanisms underlying the subjective experience of remembering.,"Simons, J.S., Ritchey, M., & Fernyhough, C. (2022). <i>Annual Review of Psychology</i>.",review,https://doi.org/10.1146/annurev-psych-030221-025439,https://psyarxiv.com/3642t/,"basic memory, memory systems",,
Cooper2021,TRUE,"Cooper, R.A., Kurkela, K., Davis, S.W., & Ritchey, M. (2021). Mapping the organization and dynamics of the posterior medial network during movie watching. <i>NeuroImage</i>, 236, 118075.",Cooper,2021,Mapping the organization and dynamics of the posterior medial network during movie watching.,"Cooper, R.A., Kurkela, K., Davis, S.W., & Ritchey, M. (2021). <i>NeuroImage</i>.",empirical,https://doi.org/10.1101/2020.10.21.348953,https://www.biorxiv.org/content/10.1101/2020.10.21.348953v2,"basic memory, memory systems, fMRI, functional connectivity, individual differences",http://www.thememolab.org/paper-camcan-pmn/,
Samide2020,TRUE,"Samide, R., & Ritchey, M. (2021). Reframing the past: Role of memory processes in emotion regulation. <i>Cognitive Therapy and Research</i>, 45, 848-857.",Samide,2021,Reframing the past: Role of memory processes in emotion regulation.,"Samide, R., & Ritchey, M. (2021). <i>Cognitive Therapy and Research</i>.",review,https://rdcu.be/b8RFI,https://rdcu.be/b8RFI,"emotional memory, emotion, depression",,
Gregory2020,FALSE,"Gregory, D.F., Ritchey, M., & Murty, V.P. (2020). Amygdala and ventral tegmental area differentially interact with hippocampus and cortical medial temporal lobe during rest in humans. <i>Hippocampus</i>, 30(10), 1073-1080.",Gregory,2020,Amygdala and ventral tegmental area differentially interact with hippocampus and cortical medial temporal lobe during rest in humans.,"Gregory, D.F., Ritchey, M., & Murty, V.P. (2020). <i>Hippocampus</i>.",empirical,https://pubmed.ncbi.nlm.nih.gov/32485015/,,"functional connectivity, emotional memory, fMRI, emotion, reward, collaborations",,
Ritchey2020,TRUE,"Ritchey, M.* & Cooper, R.A.* (2020). Deconstructing the posterior medial episodic network. <i>Trends in Cognitive Sciences</i>, 24(6), 451-465. *denotes equal contributions",Ritchey,2020,Deconstructing the posterior medial episodic network.,"Ritchey, M.* & Cooper, R.A.* (2020). <i>Trends in Cognitive Sciences</i>.",review,http://www.thememolab.org/files/RitcheyCooper2020.pdf,,"basic memory, memory systems, functional connectivity",,
Cooper2020,TRUE,"Cooper, R.A. & Ritchey, M. (2020). Progression from feature-specific brain activity to hippocampal binding during episodic encoding. <i>Journal of Neuroscience</i>, 40(8), 1701-1709.",Cooper,2020,Progression from feature-specific brain activity to hippocampal binding during episodic encoding.,"Cooper, R.A. & Ritchey, M. (2020). <i>Journal of Neuroscience</i>.",empirical,https://doi.org/10.1101/735761,https://www.biorxiv.org/content/10.1101/735761v2,"basic memory, memory systems, fMRI",http://www.thememolab.org/paper-bindingfmri/,
Samide2020,TRUE,"Samide, R., Cooper, R.A. & Ritchey, M. (2020). A database of news videos for investigating the dynamics of emotion and memory. <i>Behavior Research Methods</i>, 52, 1469-1479.",Samide,2020,A database of news videos for investigating the dynamics of emotion and memory.,"Samide, R., Cooper, R.A. & Ritchey, M. (2020). <i>Behavior Research Methods</i>.",empirical,https://rdcu.be/b56b5,https://psyarxiv.com/2vm8s/,"emotional memory, emotion, behavioral",http://www.thememolab.org/paper-videonorming/,
Cooper2019b,TRUE,"Cooper, R.A. & Ritchey, M. (2019). Cortico-hippocampal network connections support the multidimensional quality of episodic memory. <i>eLife</i>, 8:e45591.",Cooper,2019,Cortico-hippocampal network connections support the multidimensional quality of episodic memory.,"Cooper, R.A. & Ritchey, M. (2019). <i>eLife</i>.",empirical,https://elifesciences.org/articles/45591,https://www.biorxiv.org/content/10.1101/526657v1,"basic memory, memory systems, functional connectivity, fMRI",http://www.thememolab.org/paper-orbitfmri/,
Cooper2019a,TRUE,"Cooper, R.A., Kensinger, E.A., & Ritchey, M. (2019). Memories fade: The relationship between memory vividness and remembered visual salience. <i>Psychological Science</i>, 30(5), 657-668.",Cooper,2019,Memories fade: The relationship between memory vividness and remembered visual salience.,"Cooper, R.A., Kensinger, E.A., & Ritchey, M. (2019). <i>Psychological Science</i>.",empirical,https://doi.org/10.1177%2F0956797619836093,,"behavioral, basic memory, emotional memory",https://osf.io/cuz8g/,
Shields2019,FALSE,"Shields, G.S., McCullough, A.M., Ritchey, M., Ranganath, C., & Yonelinas, A.P. (2019). Stress and the medial temporal lobe at rest: Functional connectivity is associated with both memory and cortisol. <i>Psychoneuroendocrinology</i>, 106, 138-146.",Shields,2019,Stress and the medial temporal lobe at rest: Functional connectivity is associated with both memory and cortisol.,"Shields, G.S., McCullough, A.M., Ritchey, M., Ranganath, C., & Yonelinas, A.P. (2019). <i>Psychoneuroendocrinology</i>.",empirical,https://www.ncbi.nlm.nih.gov/pubmed/30981087,,"emotional memory, functional connectivity, consolidation, stress",,
Ritchey2019,TRUE,"Ritchey, M., Wang, S.-F., Yonelinas, A.P., & Ranganath, C. (2019). Dissociable medial temporal pathways for encoding emotional item and context information. <i>Neuropsychologia</i>, 124, 66-78.",Ritchey,2019,Dissociable medial temporal pathways for encoding emotional item and context information.,"Ritchey, M., Wang, S.-F., Yonelinas, A.P., & Ranganath, C. (2019). <i>Neuropsychologia</i>.",empirical,https://www.biorxiv.org/content/10.1101/248294v2,https://www.biorxiv.org/content/10.1101/248294v2,"functional connectivity, memory systems, emotional memory, fMRI, context",http://www.thememolab.org/paper-memohr/,
Jonker2018,FALSE,"Jonker, T.R., Dimsdale-Zucker, H.R., Ritchey, M., Clarke, A., & Ranganath, C. (2018). Neural reactivation in parietal cortex enhances memory for episodically linked information. <i>Proceedings of the National Academy of Sciences</i>, 115 (43), 11084-11089.",Jonker,2018,Neural reactivation in parietal cortex enhances memory for episodically linked information.,"Jonker, T.R., Dimsdale-Zucker, H.R., Ritchey, M., Clarke, A., & Ranganath, C. (2018). <i>Proceedings of the National Academy of Sciences</i>.",empirical,http://www.pnas.org/content/115/43/11084,,"pattern similarity, memory reactivation, mvpa, memory systems, fMRI, basic memory, context",,
RogersCarter2018,FALSE,"Rogers-Carter, M.M., Varela, J., Gribbons, K.B., Pierce, A.F., McGoey, M.T., Ritchey, M., & Christianson, J.P. (2018). Insular cortex mediates approach and avoidance responses to social affective stimuli. <i>Nature Neuroscience</i>, 21(3), 404-414.",Rogers-Carter,2018,Insular cortex mediates approach and avoidance responses to social affective stimuli.,"Rogers-Carter, M.M., Varela, J., Gribbons, K.B., Pierce, A.F., McGoey, M.T., Ritchey, M., & Christianson, J.P. (2018). <i>Nature Neuroscience</i>.",empirical,https://www.nature.com/articles/s41593-018-0071-y,,functional connectivity,https://github.com/memobc/fos-net,
DimsdaleZucker2018,FALSE,"Dimsdale-Zucker, H.R., Ritchey, M., Ekstrom, A.D., Yonelinas, A.P., & Ranganath, C. (2018). CA1 and CA3 differentially support spontaneous retrieval of episodic contexts within human hippocampal subfields. <i>Nature Communications</i>, 9, 294.",Dimsdale-Zucker,2018,CA1 and CA3 differentially support spontaneous retrieval of episodic contexts within human hippocampal subfields.,"Dimsdale-Zucker, H.R., Ritchey, M., Ekstrom, A.D., Yonelinas, A.P., & Ranganath, C. (2018). <i>Nature Communications</i>.",empirical,https://www.nature.com/articles/s41467-017-02752-1,https://www.biorxiv.org/content/10.1101/142349v2,"hippocampus, fMRI, basic memory, context, pattern similarity, memory reactivation, mvpa",https://github.com/hallez/abcdcon_pub,
Ritchey2017_Hipp,TRUE,"Ritchey, M., McCullough, A.M., Ranganath, C., & Yonelinas, A.P. (2017). Stress as a mnemonic filter: Interactions between medial temporal lobe encoding processes and post-encoding stress. <i>Hippocampus</i>, 27 (1), 77-88.",Ritchey,2017,Stress as a mnemonic filter: Interactions between medial temporal lobe encoding processes and post-encoding stress.,"Ritchey, M., McCullough, A.M., Ranganath, C., & Yonelinas, A.P. (2017). <i>Hippocampus</i>.",empirical,https://www.ncbi.nlm.nih.gov/pubmed/27774683,,"consolidation, emotional memory, stress",,
Ritchey2016_BBS,FALSE,"Ritchey, M., Murty, V.P., & Dunsmoor, J.E. (2016). Adaptive memory systems for remembering the salient and the seemingly mundane. <i>Behavioral and Brain Sciences</i>, 39, e221.",Ritchey,2016,Adaptive memory systems for remembering the salient and the seemingly mundane.,"Ritchey, M., Murty, V.P., & Dunsmoor, J.E. (2016). <i>Behavioral and Brain Sciences</i>.",commentary,https://www.ncbi.nlm.nih.gov/pubmed/28347387,,"consolidation, emotional memory, stress",,
Gruber2016_Neuron,FALSE,"Gruber, M.J., Ritchey, M., Wang, S.-F., Doss, M.K., & Ranganath, C. (2016). Post-learning hippocampal dynamics promote preferential retention of rewarding events. <i>Neuron</i>, 89 (5), 1110-20.",Gruber,2016,Post-learning hippocampal dynamics promote preferential retention of rewarding events.,"Gruber, M.J., Ritchey, M., Wang, S.-F., Doss, M.K., & Ranganath, C. (2016). <i>Neuron</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/26875624,,"consolidation, functional connectivity, reward, fMRI, mvpa",,
Wang2016_NLM,FALSE,"Wang, S.-F., Ritchey, M., Libby, L.A., & Ranganath, C. (2016). Functional connectivity based parcellation of the human medial temporal lobe. <i>Neurobiology of Learning and Memory</i>, 134A, 123-134.",Wang,2016,Functional connectivity based parcellation of the human medial temporal lobe.,"Wang, S.-F., Ritchey, M., Libby, L.A., & Ranganath, C. (2016). <i>Neurobiology of Learning and Memory</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/26805590,,"memory systems, functional connectivity, basic memory, fMRI",,
Ritchey2015_PBR,TRUE,"Ritchey, M., Libby, L.A., & Ranganath, C. (2015). Cortico-hippocampal systems involved in memory and cognition: The PMAT framework. In Shane O’Mara & Marian Tsanov (Ed.), The Connected Hippocampus. Progress in Brain Research, Elsevier.",Ritchey,2015,Cortico-hippocampal systems involved in memory and cognition: The PMAT framework.,"Ritchey, M., Libby, L.A., & Ranganath, C. (2015). <i>The Connected Hippocampus. Progress in Brain Research</i>.",chapter,http://www.ncbi.nlm.nih.gov/pubmed/26072233,,"basic memory, memory systems",,
Yonelinas2015_TiCS,TRUE,"Yonelinas, A.P., & Ritchey, M. (2015). The slow forgetting of emotional episodic memories: An emotional binding account. <i>Trends in Cognitive Sciences</i>, 19(5), 259-267.",Yonelinas,2015,The slow forgetting of emotional episodic memories: An emotional binding account.,"Yonelinas, A.P., & Ritchey, M. (2015). <i>Trends in Cognitive Sciences</i>.",review,http://www.ncbi.nlm.nih.gov/pubmed/25836045,,"emotional memory, consolidation",,
McCullough2015_NLM,FALSE,"McCullough, A.M. Ritchey, M., Ranganath, C., & Yonelinas, A.P. (2015). Differential effects of stress-induced cortisol responses on recollection and familiarity based recognition memory. <i>Neurobiology of Learning and Memory</i>, 123, 1-10.",McCullough,2015,Differential effects of stress-induced cortisol responses on recollection and familiarity based recognition memory.,"McCullough, A.M. Ritchey, M., Ranganath, C., & Yonelinas, A.P. (2015). <i>Neurobiology of Learning and Memory</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/25930175,,"emotional memory, stress, behavioral",,
Ritchey2015_eLife,TRUE,"Ritchey, M., Montchal, M.E., Yonelinas, A.P., & Ranganath, C. (2015). Delay-dependent contributions of medial temporal lobe regions to episodic memory retrieval. <i>eLife</i>, 4:e05025.",Ritchey,2015,Delay-dependent contributions of medial temporal lobe regions to episodic memory retrieval.,"Ritchey, M., Montchal, M.E., Yonelinas, A.P., & Ranganath, C. (2015). <i>eLife</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/25584461,,"basic memory, consolidation, fMRI, pattern similarity, memory reactivation, mvpa, context",https://elifesciences.org/content/4/e05025/article-data,
Wing2015_JoCN,FALSE,"Wing, E.A., Ritchey, M., & Cabeza, R. (2015). Reinstatement of individual past events revealed by the similarity of distributed activation patterns during encoding and retrieval. <i>Journal of Cognitive Neuroscience</i>, 27(4), 679-691.",Wing,2015,Reinstatement of individual past events revealed by the similarity of distributed activation patterns during encoding and retrieval.,"Wing, E.A., Ritchey, M., & Cabeza, R. (2015). <i>Journal of Cognitive Neuroscience</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/25313659,,"basic memory, fMRI, pattern similarity, memory reactivation, mvpa",,
Dew2014_NLM,FALSE,"Dew, I.T.Z., Ritchey, M., LaBar, K.S., & Cabeza, R. (2014). Prior perceptual processing enhances the effect of emotional arousal on the neural correlates of memory retrieval. <i>Neurobiology of Learning and Memory</i>, 112, 104-113.",Dew,2014,Prior perceptual processing enhances the effect of emotional arousal on the neural correlates of memory retrieval.,"Dew, I.T.Z., Ritchey, M., LaBar, K.S., & Cabeza, R. (2014). <i>Neurobiology of Learning and Memory</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/24380867,,"emotional memory, fMRI",,
Arzi2014_Gazz,FALSE,"Arzi, A., Banerjee, S., Cox, J.C., ... Ritchey, M., ... Wood, S. (2014). The significance of cognitive neuroscience: Findings, applications, and challenges. In M.S. Gazzaniga (Ed.), The Cognitive Neurosciences (5th ed.). Cambridge, MA: The MIT Press.",Arzi,2014,"The significance of cognitive neuroscience: Findings, applications, and challenges.","Arzi, A., Banerjee, S., Cox, J.C., ... Ritchey, M., ... Wood, S. (2014). In M.S. Gazzaniga (Ed.), <i>The Cognitive Neurosciences (5th ed.)</i>.",chapter,http://cognet.mit.edu/erefs/cognitive-neurosciences-5th-edition,,none,,
Ritchey2014_JoCN,TRUE,"Ritchey, M., Yonelinas, A.P., & Ranganath, C. (2014). Functional connectivity relationships predict similarities in task activation and pattern information during associative memory encoding. <i>Journal of Cognitive Neuroscience</i>, 26 (5), 1085-1099.",Ritchey,2014,Functional connectivity relationships predict similarities in task activation and pattern information during associative memory encoding.,"Ritchey, M., Yonelinas, A.P., & Ranganath, C. (2014). <i>Journal of Cognitive Neuroscience</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/24283495,,"basic memory, fMRI, pattern similarity, memory reactivation, mvpa, functional connectivity, memory systems",,
Ritchey2013_CerCtx,TRUE,"Ritchey, M., Wing, E.A., LaBar, K.S., & Cabeza, R. (2013). Neural similarity between encoding and retrieval is related to memory via hippocampal interactions. <i>Cerebral Cortex</i>, 23(12), 2818-2828.",Ritchey,2013,Neural similarity between encoding and retrieval is related to memory via hippocampal interactions.,"Ritchey, M., Wing, E.A., LaBar, K.S., & Cabeza, R. (2013). <i>Cerebral Cortex</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/22967731,,"basic memory, emotional memory, fMRI, pattern similarity, memory reactivation, mvpa, functional connectivity",,
RR2012_NRN,TRUE,"Ranganath, C. & Ritchey, M. (2012). Two cortical systems for memory-guided behavior. <i>Nature Reviews Neuroscience</i>, 13, 713-726.",Ranganath,2012,Two cortical systems for memory-guided behavior.,"Ranganath, C. & Ritchey, M. (2012). <i>Nature Reviews Neuroscience</i>.",review,http://www.ncbi.nlm.nih.gov/pubmed/22992647,,"basic memory, memory systems",,
Ritchey2011_JoCN,TRUE,"Ritchey, M., LaBar, K.S., & Cabeza, R. (2011). Level of processing modulates the neural correlates of emotional memory formation. <i>Journal of Cognitive Neuroscience</i>. 23 (4), 757-771.",Ritchey,2011,Level of processing modulates the neural correlates of emotional memory formation.,"Ritchey, M., LaBar, K.S., & Cabeza, R. (2011). <i>Journal of Cognitive Neuroscience</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/20350176,,"emotional memory, fMRI",,
Ritchey2011_Npsy,TRUE,"Ritchey, M., Bessette-Symons, B., Hayes, S.M., & Cabeza R. (2011). Emotion processing in the aging brain is modulated by elaboration. <i>Neuropsychologia</i>, 49 (4), 640-650.",Ritchey,2011,Emotion processing in the aging brain is modulated by elaboration.,"Ritchey, M., Bessette-Symons, B., Hayes, S.M., & Cabeza R. (2011). <i>Neuropsychologia</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/20869375,,"emotion, aging, fMRI",,
Ritchey2011_JPR,TRUE,"Ritchey, M.*, Dolcos, F.*, Eddington, K.M.*, Strauman, T., & Cabeza R. (2011). Neural correlates of emotional processing in depression: Changes with cognitive behavioral therapy and predictors of treatment response. <i>Journal of Psychiatric Research</i>, 45 (5), 577-587. *denotes equal contributions",Ritchey,2011,Neural correlates of emotional processing in depression: Changes with cognitive behavioral therapy and predictors of treatment response.,"Ritchey, M.*, Dolcos, F.*, Eddington, K.M.*, Strauman, T., & Cabeza R. (2011). <i>Journal of Psychiatric Research</i>.",empirical,http://www.ncbi.nlm.nih.gov/pubmed/20934190,,"emotion, depression, fMRI",,
Murty2010_Npsy,TRUE,"Murty, V.P.*, Ritchey, M.*, Adcock, R.A., & LaBar, K.S. (2010). fMRI studies of successful emotional memory encoding: A quantitative meta-analysis. <i>Neuropsychologia</i>, 48 (12), 3459-3469. *denotes equal contributions",Murty,2010,fMRI studies of successful emotional memory encoding: A quantitative meta-analysis.,"Murty, V.P.*, Ritchey, M.*, Adcock, R.A., & LaBar, K.S. (2010). <i>Neuropsychologia</i>. ","empirical, review",http://www.ncbi.nlm.nih.gov/pubmed/20688087,,"emotional memory, fMRI",,
